"TOA5","USL_Winch_IP","CR1000","83445","CR1000.Std.31","CPU:USL_1M_6H.cr1","21122","EventLog"
"TIMESTAMP","RECORD","EventMsg","EventDetails"
"TS","RN","",""
"","","Smp","Smp"
"2017-05-27 12:00:00",124,"[05/27/2017 12:00:15.81]  Water available (26.80124); Start Depth (1); End Depth (24.80124) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-27 12:32:25",125,"[05/27/2017 12:35:31.06] ------------------ End of profile [12] ------------------",""
"2017-05-27 18:00:00",126,"[05/27/2017 18:00:00.09] ------------------ Start of  profile [13] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-27 18:00:00",127,"[05/27/2017 18:00:12.77]  Water available (26.60562); Start Depth (1); End Depth (24.60562) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-27 18:32:33",128,"[05/27/2017 18:35:43.83] ------------------ End of profile [13] ------------------",""
"2017-05-27 23:52:00",129,"[05/27/2017 23:52:00.01]        Turning modem OFF","ModemCounter (1489); modemCurrMin(1431); resetModem(53)"
"2017-05-27 23:53:01",130,"[05/27/2017 23:53:01.01]        Turning modem back ON","ModemCounter (1550); modemCurrMin(1433); resetModem(0)"
"2017-05-28 00:00:00",131,"[05/28/2017 00:00:00.09] ------------------ Start of  profile [14] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-28 00:00:00",132,"[05/28/2017 00:00:12.78]  Water available (26.80124); Start Depth (1); End Depth (24.80124) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-28 00:32:52",133,"[05/28/2017 00:36:10.19] ------------------ End of profile [14] ------------------",""
"2017-05-28 06:00:00",134,"[05/28/2017 06:00:00.09] ------------------ Start of  profile [15] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-28 06:00:00",135,"[05/28/2017 06:00:15.79]  Water available (26.99688); Start Depth (1); End Depth (24.99688) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-28 06:32:43",136,"[05/28/2017 06:35:52.85] ------------------ End of profile [15] ------------------",""
"2017-05-28 12:00:00",137,"[05/28/2017 12:00:00.09] ------------------ Start of  profile [16] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-28 12:00:00",138,"[05/28/2017 12:00:15.77]  Water available (26.89906); Start Depth (1); End Depth (24.89906) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-28 12:32:20",139,"[05/28/2017 12:35:22.04] ------------------ End of profile [16] ------------------",""
"2017-05-28 18:00:00",140,"[05/28/2017 18:00:00.09] ------------------ Start of  profile [17] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-28 18:00:00",141,"[05/28/2017 18:00:12.78]  Water available (26.89906); Start Depth (1); End Depth (24.89906) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-28 18:32:19",142,"[05/28/2017 18:35:23.94] ------------------ End of profile [17] ------------------",""
"2017-05-28 23:52:00",143,"[05/28/2017 23:52:00.01]        Turning modem OFF","ModemCounter (1551); modemCurrMin(1431); resetModem(53)"
"2017-05-28 23:53:01",144,"[05/28/2017 23:53:01.01]        Turning modem back ON","ModemCounter (1612); modemCurrMin(1433); resetModem(0)"
"2017-05-29 00:00:00",145,"[05/29/2017 00:00:00.09] ------------------ Start of  profile [18] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-29 00:00:00",146,"[05/29/2017 00:00:12.79]  Water available (26.89906); Start Depth (1); End Depth (24.89906) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-29 00:32:44",147,"[05/29/2017 00:36:01.33] ------------------ End of profile [18] ------------------",""
"2017-05-29 06:00:00",148,"[05/29/2017 06:00:00.09] ------------------ Start of  profile [19] (1, 0, 1, 1) - {30.4} ------------------","CurrPflType[1]; currPflIndex[1]"
"2017-05-29 06:00:00",149,"[05/29/2017 06:00:12.80]  Water available (26.70343); Start Depth (1); End Depth (24.70343) from surface."," StartX [1]; EndX [2] BottomType[1]; bIsBottomRef[0]; ProfileLeg[1]"
"2017-05-29 06:32:51",150,"[05/29/2017 06:36:08.81] ------------------ End of profile [19] ------------------",""
